"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23234","Verify the Module","","Mon Oct 23 15:59:22 BDT 2023","passed","Mon Oct 23 15:59:46 BDT 2023","","Open OrangeHRM End to End","",""
"","6580","Verify that user can see home & living items","","Sat Jun 21 21:35:33 BDT 2025","failed","Sat Jun 21 21:35:39 BDT 2025","","Open Bikroy End to End","",""
"","23644","Verify the Nationalities button and added new nationalities","","Mon Oct 23 16:01:32 BDT 2023","passed","Mon Oct 23 16:01:56 BDT 2023","","Open OrangeHRM End to End","",""
"","26372","Verify the Organization Structure Button and confirm add new structure","","Mon Oct 23 16:03:33 BDT 2023","passed","Mon Oct 23 16:03:59 BDT 2023","","Open OrangeHRM End to End","",""
"","6865","Verify that user Login with valid Username and Password","","Mon Oct 23 16:01:12 BDT 2023","passed","Mon Oct 23 16:01:19 BDT 2023","","Open OrangeHRM End to End","",""
"","5952","Verify that user can see vehicles items","","Sat Jun 21 21:35:17 BDT 2025","failed","Sat Jun 21 21:35:23 BDT 2025","","Open Bikroy End to End","",""
"","6615","Verify that user Login with Invalid Password","","Mon Oct 23 16:01:06 BDT 2023","passed","Mon Oct 23 16:01:12 BDT 2023","","Open OrangeHRM End to End","",""
"","27698","Verify admin & find the admin name in admin panel","","Mon Oct 23 15:57:03 BDT 2023","passed","Mon Oct 23 15:57:31 BDT 2023","","Open OrangeHRM End to End","",""
"","5897","Verify that search option is available & search anything in search box","","Sat Jun 21 21:34:36 BDT 2025","failed","Sat Jun 21 21:34:41 BDT 2025","","Open Bikroy End to End","",""
"","6660","Verify that user can see Pets & Animals items","","Sat Jun 21 21:35:42 BDT 2025","failed","Sat Jun 21 21:35:49 BDT 2025","","Open Bikroy End to End","",""
"","27203","Verify the Memberships button and Add new members","","Mon Oct 23 16:07:01 BDT 2023","passed","Mon Oct 23 16:07:29 BDT 2023","","Open OrangeHRM End to End","",""
"","6297","Verify that user can see mobile items","","Sat Jun 21 21:35:00 BDT 2025","failed","Sat Jun 21 21:35:07 BDT 2025","","Open Bikroy End to End","",""
"","20650","Verify the Location button &  Search location","","Mon Oct 23 16:03:12 BDT 2023","passed","Mon Oct 23 16:03:32 BDT 2023","","Open OrangeHRM End to End","",""
"","6255","Verify that user can see Propertys items","","Sat Jun 21 21:35:24 BDT 2025","failed","Sat Jun 21 21:35:30 BDT 2025","","Open Bikroy End to End","",""
"","6804","Verify that user can see Women's Fashion & Beauty items","","Sat Jun 21 21:35:51 BDT 2025","failed","Sat Jun 21 21:35:58 BDT 2025","","Open Bikroy End to End","",""
"","24306","Verify the Education button and add qualification in list","","Mon Oct 23 16:06:12 BDT 2023","passed","Mon Oct 23 16:06:36 BDT 2023","","Open OrangeHRM End to End","",""
"","24983","Verify the language button and Add new language","","Mon Oct 23 16:06:36 BDT 2023","passed","Mon Oct 23 16:07:01 BDT 2023","","Open OrangeHRM End to End","",""
"","6473","Verify that user can see log in page","","Sat Jun 21 21:34:51 BDT 2025","failed","Sat Jun 21 21:34:57 BDT 2025","","Open Bikroy End to End","",""
"","26909","Verify The Configuration","","Mon Oct 23 15:58:35 BDT 2023","passed","Mon Oct 23 15:59:02 BDT 2023","","Open OrangeHRM End to End","",""
"","11260","Verify that user Login with Invalid Username","","Mon Oct 23 16:00:54 BDT 2023","passed","Mon Oct 23 16:01:06 BDT 2023","","Open OrangeHRM End to End","",""
"","6702","Verify that user can see electronics items","","Sat Jun 21 21:35:08 BDT 2025","failed","Sat Jun 21 21:35:15 BDT 2025","","Open Bikroy End to End","",""
"","23832","Verify the Corporate branding button and then publish after edit","","Mon Oct 23 16:00:14 BDT 2023","passed","Mon Oct 23 16:00:38 BDT 2023","","Open OrangeHRM End to End","",""
"","41092","Verify the organization edit info & save button","","Mon Oct 23 16:02:31 BDT 2023","passed","Mon Oct 23 16:03:12 BDT 2023","","Open OrangeHRM End to End","",""
"","22227","Verify the PIM","","Mon Oct 23 16:04:54 BDT 2023","passed","Mon Oct 23 16:05:17 BDT 2023","","Open OrangeHRM End to End","",""
"","21444","Verify The Organization Button & and Check Info","","Mon Oct 23 16:02:09 BDT 2023","passed","Mon Oct 23 16:02:30 BDT 2023","","Open OrangeHRM End to End","",""
"","5950","Verify that user can search mobiles as per condition","","Sat Jun 21 21:36:27 BDT 2025","failed","Sat Jun 21 21:36:33 BDT 2025","","Open Bikroy End to End","",""
"","23851","Verify job button & job tile button with add job","","Mon Oct 23 15:57:31 BDT 2023","passed","Mon Oct 23 15:57:55 BDT 2023","","Open OrangeHRM End to End","",""
"","27668","Verify the qualification button and skill add in list","","Mon Oct 23 16:05:44 BDT 2023","passed","Mon Oct 23 16:06:12 BDT 2023","","Open OrangeHRM End to End","",""
"","6415","Verify that browse items by category is visible","","Sat Jun 21 21:34:43 BDT 2025","failed","Sat Jun 21 21:34:50 BDT 2025","","Open Bikroy End to End","",""
"","18651","Verify The Job delete Confirmation","","Mon Oct 23 15:57:55 BDT 2023","passed","Mon Oct 23 15:58:14 BDT 2023","","Open OrangeHRM End to End","",""
"","20008","Verify the Subscription","","Mon Oct 23 15:59:02 BDT 2023","passed","Mon Oct 23 15:59:22 BDT 2023","","Open OrangeHRM End to End","",""
